Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Finlande,FIN,51745.037,52196.078,61928.296,56662.484,49013.122,47164.954,47230.96,42606.873,45870.503,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,France,FRA,375691.484,362226.26,353033.091,331804.828,333227.624,334096.703,303275.568,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Polynésie française,PYF,436.373,568.385,803.073,773.737,751.735,759.069,737.067,766.403,770.07,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Gabon,GAB,4499.409,4693.76,4800.103,4950.45,5056.793,5280.48,5324.484,5262.145,5320.817,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Gambie,GMB,198.018,275.025,432.706,447.374,454.708,432.706,513.38,524.381,531.715,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Géorgie,GEO,..,4536.079,6314.574,7990.393,8445.101,8203.079,8980.483,9798.224,10128.254,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Allemagne,DEU,..,829977.779,757880.892,729810.007,738141.431,757961.566,720363.815,727045.089,727972.84,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Ghana,GHA,3854.017,6288.905,9955.905,11525.381,14862.351,14682.668,15265.721,16552.838,16670.182,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Gibraltar,GIB,143.013,333.697,465.709,451.041,462.042,491.378,528.048,579.386,634.391,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Grèce,GRC,74278.752,91616.328,83856.956,79841.591,80050.61,69474.982,67527.805,65059.914,62434.342,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Groenland,GRL,348.365,454.708,663.727,707.731,568.385,553.717,506.046,509.713,509.713,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Grenade,GRD,106.343,190.684,260.357,253.023,271.358,304.361,234.688,260.357,267.691,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guatemala,GTM,5086.129,9915.568,11400.703,11554.717,11884.747,12918.841,13952.935,15834.106,16776.525,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guinée,GIN,1004.758,1642.816,2603.57,2779.586,2581.568,2299.209,2383.55,2702.579,2995.939,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guinée-Bissau,GNB,172.349,146.68,238.355,245.689,253.023,256.69,271.358,278.692,293.36,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Guyane,GUY,1140.437,1609.813,1719.823,1782.162,1994.848,1936.176,2009.516,2016.85,2383.55,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Haïti,HTI,1008.425,1342.122,2126.86,2093.857,2200.2,2306.543,2808.922,2933.6,2977.604,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Honduras,HND,2592.569,5031.124,8104.07,8789.799,9163.833,9416.856,9508.531,10018.244,9812.892,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,"Chine, RAS de Hong Kong",HKG,27333.818,40439.676,40267.327,43369.609,42980.907,44546.716,45749.492,42647.21,43644.634,..,..,..
Émissions de CO2 (kt),EN.ATM.CO2E.KT,Hongrie,HUN,69647.331,55826.408,50223.232,48587.75,45206.776,42306.179,41341.758,44418.371,45536.806,..,..,..
